OTU_ID,Atom02,Atom5,Atom10,Atom20,Atom30,Atom40,Atom50,Atom60,Atom70,Atom80
OTU_543,0.81888364,-0.060168747,-0.522789564,-0.060168747,-0.43021918,-0.569054733,1.744201196,-0.013864366,-0.569093946,-0.337725552
OTU_5557,-0.915007808,-0.579104321,-0.075526856,0.344109174,-0.159466777,0.511992043,-0.075594973,0.512063188,0.428120239,0.008416092
OTU_567,-0.966108832,-0.221731081,-0.19005536,-0.158379638,-0.158379638,0.665187418,0.649349843,-0.776041649,0.633511982,0.522646955
OTU_573,1.307367012,-0.581071944,-0.435677229,0.435724384,-0.581071944,0.435847511,-0.145249321,-0.435918244,0.435968019,-0.435918244
OTU_6,-0.822346957,-0.780292937,-0.829993155,-0.524145852,-0.508853456,-0.547084377,1.005090733,1.700893381,1.062437081,0.24429554
OTU_600,0.685127367,-0.321247475,-0.35998886,0.762545219,-0.476148796,-0.514825961,1.18837796,-0.514825961,-0.28260242,-0.166411072
OTU_61,-0.906513216,-0.399372399,-0.821989683,-0.293718744,-0.483896313,-0.779727917,0.74169225,1.248832687,0.762823134,0.9318702
OTU_62,-0.7613102,-0.139832505,-0.657730428,0.740594619,0.688803799,0.015537153,0.48164519,-0.450570885,-0.346992048,0.429855305
OTU_627,-0.297239803,-0.065053366,-0.157959103,-0.390222607,0.027890904,-0.250864002,-0.390222607,0.585324486,1.328568704,-0.390222607
OTU_6404,-0.352753308,-0.683815177,0.419018985,0.088235564,-0.79401665,0.198437037,0.308728011,-0.573430724,1.852825514,-0.463229251
OTU_663,-0.870205209,-0.041219151,0.510939227,0.649065377,-0.041219151,-0.041562885,0.649062886,0.234689416,-0.731964481,-0.31758603
OTU_69,-1.052219099,-0.138001707,-0.263141675,0.077517226,0.282607928,0.390367426,0.334749586,-0.805415158,0.956973679,0.216561794
OTU_693,-0.690495523,-0.361692044,0.530775149,-0.079859764,0.014083482,0.248943716,-0.31471915,0.155037739,1.141410908,-0.643484513
OTU_70,-0.738742656,-0.539754621,-0.738742431,-0.340766586,-0.57706492,-0.639248302,0.989964705,1.325756495,0.8904708,0.368127517
OTU_79,-0.649334193,0.483204437,0.785214103,-0.347261896,-0.347324527,-0.120816256,-0.951281229,1.011721013,-0.27182177,0.407700319
OTU_8,-0.75636514,-0.705350093,-0.851682714,-0.419397369,-0.486522389,-0.569757478,1.250674038,1.418486672,0.774086166,0.345828308
OTU_8307,-0.515503367,1.593135523,-0.281015807,-0.515503367,-0.749990927,0.422058173,0.656157033,-0.515503367,-0.515503367,0.421669473
OTU_84,-1.198741337,-0.490624677,0.116334025,0.2680737,0.217492896,0.571552139,-0.085985542,0.31865268,0.622131118,-0.338885001
OTU_847,-0.356399388,0.291526076,0.129611528,-0.356399388,0.453507807,-0.275341339,-0.275341339,0.939518723,-0.275341339,-0.275341339
OTU_8527,-0.48092294,0.28619132,0.846835169,-0.510453755,-0.09739002,0.522265974,-0.539984569,-0.067859737,0.551772313,-0.510453755
OTU_88,-0.894118265,-0.619005245,-0.57315211,0.481448487,0.619004583,0.298039256,0.89411843,0.89411843,-0.022926071,-1.077527495
OTU_89,-0.86847475,0.657715366,-0.214393178,0.039971732,0.294336642,-0.868475406,0.003634449,0.58503949,-0.069042082,0.439687738
OTU_91,-0.609259621,-0.582998371,-0.766826646,0.362404726,0.572493776,-0.294125571,1.307807348,-0.136558546,-0.241603071,0.388665975
OTU_9162,-0.328058602,0.385097397,0.242560865,-0.470831804,0.099787663,-0.328058602,-0.470831804,1.526452093,-0.470831804,-0.185285401
