OTU_ID,Atom02_1,Atom02_2,Atom02_3,Atom02_4,Atom5_1,Atom5_2,Atom5_3,Atom5_4,Atom10_1,Atom10_2,Atom10_3,Atom10_4,Atom20_1,Atom20_2,Atom20_3,Atom20_4,Atom30_1,Atom30_2,Atom30_3,Atom30_4,Atom40_1,Atom40_2,Atom40_3,Atom40_4,Atom50_1,Atom50_2,Atom50_3,Atom50_4,Atom60_1,Atom60_2,Atom60_3,Atom60_4,Atom70_1,Atom70_2,Atom70_3,Atom70_4,Atom80_1,Atom80_2,Atom80_3,Atom80_4
OTU_45,54,54,64,51,70,67,82,105,81,60,88,76,92,121,65,90,91,108,98,131,84,98,78,97,111,93,106,107,111,116,85,161,67,85,78,89,126,95,71,96
OTU_1321,24,28,16,16,12,12,13,12,12,13,18,18,14,10,11,15,5,6,12,3,10,14,16,13,13,9,10,10,5,10,14,6,12,16,3,18,7,18,17,13
OTU_150,11,11,13,13,16,13,15,19,19,14,8,19,23,17,26,18,28,20,18,32,22,24,19,34,26,26,22,23,23,22,27,29,25,23,10,22,36,18,20,13
OTU_257,20,19,15,15,17,16,16,3,22,17,11,8,10,4,19,11,12,10,3,3,13,13,9,11,2,9,10,11,11,12,7,3,11,14,14,4,10,18,22,23
OTU_199,5,4,10,10,8,3,9,8,5,8,15,11,7,8,9,16,18,12,17,15,10,8,11,11,6,14,10,8,10,3,14,10,9,15,5,15,11,11,8,7
OTU_1418,12,14,16,16,15,11,13,2,18,15,14,6,5,5,11,14,8,11,1,2,11,9,16,8,7,8,15,12,15,13,11,2,14,9,13,4,6,10,10,16
OTU_36,12,14,6,6,13,12,10,30,11,11,15,16,30,19,5,12,13,16,16,33,13,10,10,8,19,22,8,9,8,19,13,21,12,10,6,24,23,28,12,23
OTU_274,15,17,23,11,10,11,14,5,12,9,7,9,9,18,8,11,9,12,14,3,8,8,7,8,12,15,10,11,13,13,14,5,12,6,14,7,11,16,15,15
OTU_216,2,2,0,1,3,4,1,2,3,9,4,5,5,4,3,3,4,2,5,11,7,8,4,3,3,5,3,2,5,5,4,3,2,2,4,2,2,3,5,6
OTU_285,2,2,1,2,3,2,5,5,0,2,3,2,5,6,2,8,2,5,5,7,8,7,4,5,5,6,10,10,5,6,5,3,4,2,3,3,0,4,4,1
